year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,deal_rating,ownerId,ownerEmail,ownerRole
2015,CHEVROLET,Silverado 1500,LT,truck,automatic,3gcukrec2fg234187,tx,50,7450,white,gray,ally financial,35200,36000,Wed May 20 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2011,LEXUS,ES 350,Base,sedan,automatic,jthbk1gg7b2507834,ca,35,72450,gold,tan,lexus financial services,19800,19200,Fri Jan 30 2015 11:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2013,JEEP,Wrangler,Sport,suv,manual,1c4ajwag4dl583921,az,44,35670,red,black,chrysler capital,22500,23400,Tue Mar 03 2015 03:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2008,TOYOTA,Camry,CE,sedan,automatic,4t1be46k18u743521,fl,20,139870,beige,beige,toyota motor credit corp,7100,6500,Wed Jan 14 2015 09:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2014,HYUNDAI,Elantra,SE,sedan,automatic,5npdh4ae2eh038723,pa,46,24310,white,beige,hyundai motor finance,12500,13100,Mon Mar 23 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2010,CHEVROLET,Impala,LT,sedan,automatic,2g1wb5ek3a1245631,il,30,101250,silver,gray,ally financial,8400,7800,Thu Jan 08 2015 07:30:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2012,HONDA,Civic,LX,sedan,automatic,2hgfb2f54ch321876,mo,40,58430,gray,black,honda financial services,10800,11500,Tue Feb 03 2015 03:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2013,FORD,Mustang,V6,coupe,automatic,1zvbp8am0d5267891,ga,43,38450,red,black,ford motor credit company llc,16500,17200,Fri Mar 27 2015 08:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,TOYOTA,Corolla,LE,sedan,automatic,2t1bu4ee5bc672134,wa,34,82560,white,gray,toyota motor credit corp,9200,9700,Wed Jan 21 2015 04:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2015,KIA,Soul,Base,hatchback,automatic,kndjn2a26f7394521,nc,48,14780,orange,black,kia motors finance,14200,15000,Thu Apr 30 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2009,FORD,Ranger,XLT,truck,manual,1ftzr45u19pb23415,co,24,87340,black,gray,wells fargo dealer services,7900,7400,Tue Jan 27 2015 05:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,NISSAN,Rogue,S,suv,automatic,jn8as5mv6ew312784,ca,44,31250,white,black,nissan-infiniti lt,16800,17500,Mon Apr 13 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,HONDA,Accord,EX,sedan,automatic,1hgcp2f82ca045782,fl,39,54320,silver,gray,honda financial services,12400,13000,Thu Feb 05 2015 02:30:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2010,VOLKSWAGEN,GTI,Base,hatchback,manual,wvwhv7aj9aw042815,ny,28,96740,black,black,vw credit inc,10300,9700,Mon Jan 05 2015 10:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2013,SUBARU,Forester,2.5i,suv,automatic,jf2sjadcxdh418327,wa,42,44560,green,black,subaru motors finance,18200,19000,Wed Mar 04 2015 09:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2011,CHEVROLET,Tahoe,LS,suv,automatic,1gnscae03br124578,tx,33,97450,white,tan,ally financial,18700,18100,Fri Feb 13 2015 03:30:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2014,TOYOTA,4Runner,SR5,suv,automatic,jtebu5jr8e5153478,az,46,18750,silver,black,toyota motor credit corp,28500,29800,Tue Apr 07 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2009,HONDA,Fit,Sport,hatchback,automatic,jhmge88239s078234,ca,26,102450,blue,gray,honda financial services,7200,6700,Thu Jan 29 2015 08:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2012,JEEP,Compass,Sport,suv,automatic,1c4njdab0cd578213,nc,38,65430,gray,gray,chrysler capital,10800,11300,Mon Feb 23 2015 05:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2015,FORD,Explorer,XLT,suv,automatic,1fm5k7d88fga34521,mi,49,11230,white,tan,ford motor credit company llc,29500,30800,Wed May 13 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2010,DODGE,Ram 1500,SLT,truck,automatic,1d3hv13t29s781234,ga,30,118650,red,gray,chrysler capital,14200,13500,Tue Jan 13 2015 06:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2013,BMW,5 Series,528i,sedan,automatic,wba5a5c52dd123475,ca,41,46780,black,black,bmw financial services,32500,34000,Thu Mar 19 2015 09:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,MAZDA,Mazda6,i,sedan,automatic,1yvhp82a5b5m31526,fl,33,79350,blue,black,mazda financial services,9800,9300,Mon Feb 02 2015 07:30:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,CHEVROLET,Traverse,LS,suv,automatic,1gnkrfed8ej237812,il,45,28970,silver,gray,ally financial,22100,23000,Fri Apr 17 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2010,TOYOTA,Tacoma,Access Cab,truck,manual,5tftx4cn7ax023478,co,31,104530,gray,gray,toyota motor credit corp,14800,14200,Wed Jan 28 2015 07:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2012,NISSAN,Maxima,3.5 SV,sedan,automatic,1n4aa5ap9cc843721,ny,37,67890,white,black,nissan-infiniti lt,14100,14900,Tue Mar 10 2015 08:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2009,SUBARU,Impreza,2.5i,sedan,automatic,jf1ge61699h518453,wa,24,113240,silver,gray,subaru motors finance,7600,7100,Thu Jan 08 2015 09:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,HONDA,CR-V,EX,suv,automatic,2hkrm4h53eh651823,pa,46,27340,gray,black,honda financial services,21200,22000,Mon Apr 27 2015 02:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,FORD,Explorer,XLT,suv,automatic,1fmhk8d82bga56213,tx,34,88120,white,beige,ford motor credit company llc,14800,14200,Fri Jan 23 2015 05:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2013,KIA,Sorento,LX,suv,automatic,5xykt3a14dg342781,ca,43,49320,silver,black,kia motors finance,17400,18200,Wed Mar 25 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2010,HYUNDAI,Tucson,GLS,suv,automatic,km8jm12bxau897234,ga,29,98760,red,gray,hyundai motor finance,9700,9200,Tue Feb 10 2015 07:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2015,TOYOTA,Corolla,LE,sedan,automatic,2t1burhe0fc323481,fl,50,8430,white,black,toyota motor credit corp,14900,15700,Thu May 14 2015 02:30:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,VOLKSWAGEN,Passat,SE,sedan,automatic,1vwbh7a37cc034127,il,38,61230,silver,beige,vw credit inc,12800,13500,Mon Feb 16 2015 03:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2013,FORD,Taurus,SEL,sedan,automatic,1fahp2e84dg237841,mi,42,53480,black,black,ford motor credit company llc,15700,16500,Fri Mar 06 2015 08:00:00 GMT-0800 (PST),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2009,CHEVROLET,Traverse,LT,suv,automatic,1gnev23d79s123478,oh,24,128340,gold,tan,ally financial,10200,9600,Wed Jan 07 2015 06:30:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,HONDA,Pilot,EX,suv,automatic,5fnyf4h27eb041523,wa,46,29870,silver,gray,honda financial services,26800,28000,Tue Apr 07 2015 09:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2011,TOYOTA,Sienna,LE,minivan,automatic,5tdkk3dc7bs035812,tx,35,82560,silver,beige,toyota motor credit corp,16200,15800,Thu Feb 19 2015 04:00:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2013,CADILLAC,ATS,2.5L,sedan,automatic,1g6ab5ra3d0174523,ca,42,48320,black,black,ally financial,22100,23000,Mon Mar 30 2015 09:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2010,HONDA,Odyssey,EX,minivan,automatic,5fnrl3h55ab074512,nc,30,109870,silver,gray,honda financial services,11300,10800,Fri Jan 16 2015 08:30:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2014,SUBARU,Outback,2.5i,wagon,automatic,4s4brbac0e3267481,wa,47,22340,silver,black,subaru motors finance,22800,24000,Wed Apr 15 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
2012,MAZDA,CX-5,Sport,suv,automatic,jm3ke4by9c0341278,fl,40,54320,white,black,mazda financial services,15100,15900,Tue Mar 03 2015 05:00:00 GMT-0800 (PST),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2009,TOYOTA,Tundra,SR5,truck,automatic,5tfrm5f15ax023478,ga,25,132450,gray,gray,toyota motor credit corp,16100,15300,Mon Jan 26 2015 07:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2014,NISSAN,Pathfinder,S,suv,automatic,5n1ar2mn5ec698413,co,45,32560,black,black,nissan-infiniti lt,21500,22500,Thu Apr 23 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2011,FORD,Edge,SEL,suv,automatic,2fmdk3jc0bba61234,oh,35,76890,blue,black,ford motor credit company llc,13200,12800,Wed Feb 04 2015 05:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2013,TOYOTA,Camry Hybrid,XLE,sedan,automatic,4t1bd1fk1du137841,il,43,47320,silver,beige,toyota motor credit corp,17200,18000,Mon Mar 16 2015 02:30:00 GMT-0700 (PDT),Fair Market,seed-dealer-001,dealer@carcatalog.local,dealer
2012,HYUNDAI,Santa Fe,GLS,suv,automatic,5xyzgdab5cg087234,tx,38,72560,white,gray,hyundai motor finance,14300,13800,Fri Feb 27 2015 04:00:00 GMT-0800 (PST),Good Price,seed-consumer-001,consumer@carcatalog.local,consumer
2010,KIA,Sportage,LX,suv,automatic,kndpb3a22a7062341,ny,28,99340,silver,gray,kia motors finance,8600,8100,Tue Jan 20 2015 09:30:00 GMT-0800 (PST),Good Price,seed-dealer-001,dealer@carcatalog.local,dealer
2015,CHEVROLET,Colorado,LT,truck,automatic,1gcgsce3xf1203478,mi,50,6780,white,black,ally financial,28500,29800,Wed May 27 2015 03:00:00 GMT-0700 (PDT),Fair Market,seed-consumer-001,consumer@carcatalog.local,consumer
