year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,deal_rating
2005,NAN,Nan,,nan,automatic,2d4fv48vx5h124799,fl,2.0,96917.0,red,black,coral springs honda,4875.0,4500.0,Fri Jan 16 2015 01:30:00 GMT-0800 (PST),Fair Market
2012,FORD,Focus,SE,sedan,automatic,1fahp3f2xcl283928,il,44.0,26142.0,gray,black,ford motor credit company llc,10050.0,10200.0,Tue Jan 13 2015 11:00:00 GMT-0800 (PST),Fair Market
2012,CHEVROLET,Malibu,LT,sedan,automatic,1g1zc5e08cf259138,pa,3.0,24846.0,blue,black,exceptional motorcars ltd,11500.0,12200.0,Wed Jan 28 2015 01:00:00 GMT-0800 (PST),Fair Market
2007,PONTIAC,Torrent,Base,suv,automatic,2ckdl63f676045627,ca,41.0,103357.0,white,black,ideal transportation,4700.0,4800.0,Wed Jan 07 2015 12:30:00 GMT-0800 (PST),Fair Market
2014,FORD,Escape,SE,suv,automatic,1fmcu0gx5eua20969,mo,43.0,15736.0,silver,gray,ford motor credit company llc pd,17350.0,17300.0,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT),Fair Market
2014,NISSAN,Versa Note,1.6 SV,hatchback,automatic,3n1ce2cp8el372864,mo,37.0,39623.0,red,black,avis corporation,9200.0,9400.0,Tue Jun 02 2015 04:00:00 GMT-0700 (PDT),Fair Market
2008,CHEVROLET,Hhr,LT,wagon,automatic,3gnda23d28s590299,il,,101338.0,silver,tan,bettenhausen motor sales inc,4700.0,3900.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),Good Price
2013,CHEVROLET,Corvette,Grand Sport,coupe,automatic,1g1yw2dw5d5104979,va,37.0,29498.0,red,black,vnb loan services inc,40700.0,38500.0,Thu Feb 12 2015 01:20:00 GMT-0800 (PST),Great Deal
2012,BUICK,Lacrosse,Premium I Group,sedan,automatic,1g4ge5e32cf248313,wi,4.0,26326.0,brown,beige,fiserv/usb dealer services northstar exchange,19750.0,19200.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT),Good Price
2012,NISSAN,Sentra,2,sedan,automatic,3n1ab6ap9cl750276,ca,29.0,77706.0,black,gray,skyhigh remarketing inc,8100.0,7300.0,Wed Jan 28 2015 04:15:00 GMT-0800 (PST),Good Price
2014,BMW,X6,xDrive35i,suv,automatic,5uxfg2c56e0k41608,oh,5.0,5292.0,white,black,bmw na manheim new jersey,52800.0,54000.0,Tue Jan 27 2015 06:00:00 GMT-0800 (PST),Fair Market
2004,ACURA,Tsx,Base,sedan,manual,jh4cl95874c022183,ga,31.0,149335.0,gray,gray,roswell auto brokers inc,4800.0,5700.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST),Fair Market
2014,FIAT,500L,Pop,wagon,automatic,zfbcfaah0ez016355,fl,4.0,19565.0,black,black,hertz corporation/gdp,11250.0,11600.0,Mon Mar 02 2015 04:30:00 GMT-0800 (PST),Fair Market
2012,NISSAN,Altima,2.5,sedan,automatic,1n4al2apxcc141962,mo,44.0,44900.0,silver,black,nissan-infiniti lt,11700.0,13100.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST),Fair Market
2014,MERCEDES-BENZ,E-Class,E550,convertible,automatic,wddkk7df0ef242002,oh,43.0,3569.0,gray,beige,mercedes-benz usa,56700.0,57250.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST),Fair Market
2014,FORD,F-150,XL,regular cab,automatic,1ftnf1cf4ekd16524,ga,37.0,11487.0,white,gray,u-haul,18250.0,17900.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST),Fair Market
2006,SAAB,9-3,Aero,sedan,,ys3fh41u761141882,ca,19.0,115961.0,gray,gray,tio rico te ayuda-anfs inc,2575.0,1350.0,Thu Mar 05 2015 04:00:00 GMT-0800 (PST),Good Price
2005,SAAB,9-3,Linear,sedan,automatic,ys3fb49s151051582,nc,27.0,137244.0,silver,beige,crossroads ford inc,2075.0,2000.0,Mon Jan 19 2015 01:00:00 GMT-0800 (PST),Fair Market
2013,FORD,Focus,SE,sedan,automatic,1fadp3f21dl232351,pa,42.0,24250.0,black,black,ford motor credit company llc,11150.0,10500.0,Wed Feb 11 2015 01:00:00 GMT-0800 (PST),Good Price
2012,HONDA,Cr-V,EX-L,suv,automatic,5j6rm4h75cl011061,ca,42.0,44065.0,white,brown,ahfc/honda lease trust/hvt  inc. eot,20600.0,20700.0,Tue Dec 30 2014 15:00:00 GMT-0800 (PST),Fair Market
2014,FORD,Focus,SE,sedan,automatic,1fadp3f23el242297,il,47.0,27064.0,silver,black,enterprise/ars,12200.0,12700.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST),Fair Market
1997,HONDA,Civic,LX,sedan,automatic,2hgej6673vh568936,md,3.0,184027.0,black,gray,ourisman of clarksville inc,1050.0,1000.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),Fair Market
2012,HONDA,Crosstour,EX,hatchback,automatic,5j6tf3h31cl003787,nj,37.0,35475.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,14100.0,14200.0,Wed Jun 03 2015 02:30:00 GMT-0700 (PDT),Fair Market
2012,TOYOTA,Camry,SE,sedan,automatic,4t1bf1fk1cu555635,fl,44.0,30389.0,red,black,world omni financial corporation,14900.0,15200.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST),Fair Market
2005,FORD,Econoline Cargo,E-250,van,,1ftne24w55ha54503,fl,19.0,173154.0,white,gray,grieco nissan,2900.0,1800.0,Thu Jun 04 2015 02:40:00 GMT-0700 (PDT),Good Price
1999,VOLKSWAGEN,Jetta,GLX VR6 (1999.5),sedan,automatic,3vwte29m1xm091901,nc,2.0,105542.0,black,beige,hendrick mini,875.0,1400.0,Wed Jan 07 2015 14:30:00 GMT-0800 (PST),Fair Market
2006,TOYOTA,Corolla,LE,sedan,,1nxbr32e66z675163,fl,31.0,110597.0,beige,beige,nicholas financial inc/clearwater,4900.0,4700.0,Thu Jan 29 2015 07:01:00 GMT-0800 (PST),Fair Market
2011,KIA,Optima,EX,sedan,automatic,knagn4a77b5179787,fl,19.0,51360.0,brown,beige,kia motors finance,12750.0,11400.0,Tue Dec 30 2014 09:30:00 GMT-0800 (PST),Good Price
2013,VOLVO,Xc60,3.2,suv,automatic,yv4940dl4d2431996,tx,41.0,40812.0,black,gray,avis corporation,22100.0,22000.0,Wed Feb 25 2015 02:15:00 GMT-0800 (PST),Fair Market
2003,NISSAN,Altima,2.5 SL,sedan,automatic,1n4al11dx3c145011,ca,,82364.0,green,gray,mazda of orange,2600.0,2500.0,Wed Dec 17 2014 12:30:00 GMT-0800 (PST),Fair Market
2010,FORD,Escape,XLT,suv,automatic,1fmcu0d7xaka94639,md,4.0,74696.0,blue,black,capital one auto finance,9075.0,8200.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST),Good Price
2012,LEXUS,Rx 350,Base,suv,automatic,2t2zk1ba0cc083593,ca,47.0,30578.0,gold,beige,skyhigh remarketing inc,27700.0,28250.0,Wed Jan 28 2015 04:15:00 GMT-0800 (PST),Fair Market
2008,CHEVROLET,Hhr,LS,wagon,automatic,3gnca13d08s667144,oh,35.0,140722.0,gold,tan,gateway financial services,2900.0,3050.0,Tue Jan 27 2015 04:00:00 GMT-0800 (PST),Fair Market
2012,NISSAN,Rogue,SV,suv,automatic,jn8as5mt5cw283260,fl,41.0,24628.0,black,black,nissan-infiniti lt,13350.0,12800.0,Wed Jun 03 2015 02:00:00 GMT-0700 (PDT),Good Price
2013,CHEVROLET,Spark,1LT,hatchback,manual,kl8cc6s90dc509893,pa,41.0,44203.0,green,black,exceptional motorcars ltd,8250.0,7750.0,Wed Mar 04 2015 01:00:00 GMT-0800 (PST),Fair Market
2005,ACURA,Tl,3.2,sedan,automatic,19uua66225a052615,md,33.0,145209.0,blue,brown,kar motors inc,5875.0,5500.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),Fair Market
2011,CHEVROLET,Camaro,2SS,coupe,automatic,2g1fk1ej9b9117833,in,41.0,14698.0,green,black,gm financial,23300.0,24900.0,Thu Jan 22 2015 02:00:00 GMT-0800 (PST),Fair Market
2011,FORD,F-150,XLT,supercrew,automatic,1ftfw1ef1bfa08801,ut,37.0,98960.0,white,gray,excell auto center,18150.0,16000.0,Wed Jan 07 2015 11:30:00 GMT-0800 (PST),Great Deal
2008,HONDA,Fit,Base,hatchback,automatic,jhmgd38458s018472,md,19.0,99965.0,gray,black,credit acceptance corp/vrs/southfield,4575.0,4500.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST),Fair Market
2014,CHEVROLET,Malibu,LTZ,sedan,automatic,1g11h5sl1ef130514,fl,4.0,34689.0,gray,beige,gm remarketing,16200.0,17300.0,Mon Feb 23 2015 05:00:00 GMT-0800 (PST),Fair Market
2012,FORD,Fusion,SEL,sedan,,3fahp0jgxcr209041,nj,42.0,32119.0,gray,black,ford motor credit company llc,13550.0,14900.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST),Fair Market
2012,FORD,Focus,SE,hatchback,automatic,1fahp3k22cl219954,fl,37.0,76726.0,black,black,ford motor credit company llc,7350.0,7400.0,Thu Jun 11 2015 02:00:00 GMT-0700 (PDT),Fair Market
2005,VOLVO,Xc90,V8,suv,automatic,yv1cz852x51203386,va,41.0,112940.0,gray,gray,pohanka acura,4950.0,7300.0,Thu May 28 2015 02:50:00 GMT-0700 (PDT),Fair Market
2001,FORD,Mustang,Base,coupe,automatic,1fafp40431f175797,fl,19.0,179972.0,red,tan,enterprise vehicle exchange / rental / tulsa,1450.0,2100.0,Fri Feb 13 2015 01:25:00 GMT-0800 (PST),Fair Market
2013,FORD,Edge,SE,suv,automatic,2fmdk3gc2dba67700,il,33.0,34468.0,blue,black,ford motor credit company llc,16900.0,15400.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),Good Price
2003,HONDA,Element,EX,suv,,5j6yh185x3l013420,fl,,255823.0,orange,black,arrigo dodge chrysler jeep ram sawgrass,2325.0,3000.0,Thu Dec 18 2014 09:00:00 GMT-0800 (PST),Fair Market
2007,LEXUS,Ls 460,Base,sedan,automatic,jthbl46f375043097,fl,44.0,66388.0,silver,black,kly international llc,19100.0,20700.0,Tue Mar 10 2015 02:30:00 GMT-0700 (PDT),Fair Market
2011,NISSAN,Maxima,3.5 SV,sedan,,1n4aa5ap5bc849879,pa,48.0,48689.0,gray,black,nissan-infiniti lt,16000.0,18600.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT),Fair Market
2006,JEEP,Liberty,Sport,suv,automatic,1j4gl48k76w255408,ca,35.0,104863.0,white,gray,northwestern chrys/j/d/ge,4750.0,6100.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST),Fair Market
2007,FORD,Escape,XLT,suv,,1fmyu03187ka76376,fl,35.0,140989.0,green,gray,coggin deland honda,3700.0,3300.0,Tue Feb 10 2015 10:00:00 GMT-0800 (PST),Fair Market
2009,SMART,Fortwo,BRABUS coupe,hatchback,automatic,wmeej31x49k279830,tn,37.0,52378.0,silver,gray,santander consumer,4125.0,3900.0,Tue Jun 16 2015 03:30:00 GMT-0700 (PDT),Fair Market
2005,NAN,Nan,,nan,automatic,jtjbt20x850095355,oh,35.0,146824.0,gold,beige,bobb automotive inc,11750.0,11300.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),Fair Market
2012,NISSAN,Maxima,3.5 SV,sedan,,1n4aa5ap8cc805439,pa,36.0,38695.0,gray,black,nissan-infiniti lt,17000.0,18400.0,Fri Jan 16 2015 01:00:00 GMT-0800 (PST),Fair Market
2009,BMW,X5,xDrive30i,suv,,5uxfe43559l269406,pa,42.0,57074.0,white,brown,alans autos,20200.0,22700.0,Fri Jan 02 2015 09:00:00 GMT-0800 (PST),Fair Market
2012,FORD,Escape,XLT,suv,automatic,1fmcu9dgxckc75151,nj,49.0,24684.0,blue,black,ford motor credit company llc,17150.0,18600.0,Wed May 27 2015 02:00:00 GMT-0700 (PDT),Fair Market
2012,HONDA,Accord,LX,sedan,automatic,1hgcp2f3xca022237,fl,29.0,48407.0,silver,black,remarketing by ge/west financial acceptance,11550.0,11600.0,Wed Jan 21 2015 01:00:00 GMT-0800 (PST),Fair Market
2013,NISSAN,Rogue,S,suv,automatic,jn8as5mv7dw604458,ne,36.0,35410.0,gray,black,ruan car sales inc,14700.0,13900.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST),Good Price
2008,NISSAN,Sentra,2,sedan,automatic,3n1ab61e78l673414,md,,183655.0,blue,gray,car corporation of america inc,2400.0,2300.0,Tue Dec 23 2014 09:30:00 GMT-0800 (PST),Fair Market
2014,KIA,Sportage,LX,suv,automatic,kndpb3ac3e7549063,tx,44.0,35267.0,brown,gray,avis corporation,14250.0,14000.0,Wed May 27 2015 03:15:00 GMT-0700 (PDT),Fair Market
2014,INFINITI,Qx60,Base,suv,automatic,5n1al0mm5ec510614,tn,38.0,31938.0,gray,black,avis corporation,29600.0,29900.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT),Fair Market
2013,HYUNDAI,Sonata,GLS,sedan,automatic,5npeb4ac2dh748080,sc,3.0,41035.0,silver,gray,enterprise vehicle exchange / tra / rental / tulsa,12100.0,10200.0,Thu Jan 08 2015 12:00:00 GMT-0800 (PST),Great Deal
2011,INFINITI,M37,x,sedan,automatic,jn1by1ar4bm377000,tn,49.0,26326.0,blue,tan,nissan infiniti lt,25500.0,26800.0,Thu Jan 29 2015 02:00:00 GMT-0800 (PST),Fair Market
2014,HONDA,Accord,EX-L,sedan,automatic,1hgcr2f8xea097660,ca,38.0,18116.0,gray,black,american honda motor company,21700.0,21100.0,Tue Dec 30 2014 15:00:00 GMT-0800 (PST),Good Price
2015,DODGE,Grand Caravan,R/T,minivan,automatic,2c4rdgeg4fr633688,tn,47.0,19338.0,gray,black,budget rent a car/atlanta,22900.0,23000.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT),Fair Market
2014,FORD,Mustang,GT Premium,convertible,manual,1zvbp8ff8e5245912,fl,49.0,26273.0,red,black,ford motor credit company,28100.0,32300.0,Wed Mar 04 2015 02:00:00 GMT-0800 (PST),Fair Market
2014,DODGE,Grand Caravan,SXT,minivan,automatic,2c4rdgcg1er205806,ne,4.0,37452.0,burgundy,black,enterprise vehicle exchange/davenport,16250.0,16500.0,Thu Feb 26 2015 02:30:00 GMT-0800 (PST),Fair Market
2007,DODGE,Caliber,SXT,wagon,automatic,1b3hb48b37d279720,nj,,121109.0,,,central group inc,3375.0,3100.0,Wed Dec 17 2014 09:30:00 GMT-0800 (PST),Fair Market
2012,CHEVROLET,Impala,LS Fleet,sedan,automatic,2g1wf5e37c1236381,fl,3.0,59070.0,silver,gray,dtg operations inc,9050.0,8700.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST),Fair Market
2006,CHRYSLER,300,Touring,sedan,automatic,2c3ka53g36h135395,ca,19.0,127744.0,silver,gray,santander consumer,5525.0,4000.0,Thu Jan 15 2015 04:00:00 GMT-0800 (PST),Great Deal
2008,MITSUBISHI,Lancer,ES,sedan,manual,ja3au26u58u038857,nj,25.0,117164.0,silver,black,santander consumer,4200.0,3500.0,Wed Feb 25 2015 01:30:00 GMT-0800 (PST),Good Price
2014,CHEVROLET,Sonic,LT,sedan,automatic,1g1jc5sh0e4103908,ga,43.0,36357.0,white,black,avis corporation,10100.0,9900.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),Fair Market
2008,FORD,Fusion,SEL,sedan,automatic,3fahp02148r265929,tx,24.0,89410.0,red,beige,fiserv/sierra auto finance,5575.0,5000.0,Tue Jan 20 2015 02:30:00 GMT-0800 (PST),Good Price
2004,BMW,3 Series,325i,sedan,automatic,wbaet374x4nj96607,nc,32.0,132709.0,silver,black,hendrick lexus,3825.0,4500.0,Wed Jan 28 2015 06:30:00 GMT-0800 (PST),Fair Market
2012,MERCEDES-BENZ,Cls-Class,CLS550,sedan,automatic,wddlj7db0ca026973,ca,35.0,22462.0,black,black,mercedes-benz financial services,43000.0,43250.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT),Fair Market
2013,CADILLAC,Cts,Performance,sedan,automatic,1g6dj5e38d0144287,il,41.0,52503.0,beige,black,the hertz corporation,17850.0,19000.0,Thu Feb 05 2015 02:30:00 GMT-0800 (PST),Fair Market
2000,TOYOTA,Camry,LE,sedan,automatic,jt2bg22k7y0436489,md,19.0,156280.0,white,tan,lexus of rockville,2250.0,2350.0,Tue Mar 03 2015 01:30:00 GMT-0800 (PST),Fair Market
2007,TOYOTA,Camry,LE,sedan,automatic,4t1be46k07u166009,ma,28.0,170692.0,gray,gray,clay subaru,5350.0,5000.0,Tue Mar 03 2015 02:00:00 GMT-0800 (PST),Fair Market
2007,FORD,Taurus,SE Fleet,sedan,automatic,1fafp53u07a179250,tx,,89836.0,beige,tan,mac churchhill auto mall,3375.0,3700.0,Thu Dec 18 2014 11:00:00 GMT-0800 (PST),Fair Market
2008,HUMMER,H3,Base,suv,automatic,5gten13e688123747,fl,32.0,78808.0,black,black,jpmorgan chase bank n.a.,14150.0,15400.0,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT),Fair Market
2014,TOYOTA,Camry,SE,sedan,automatic,4t1bf1fk0eu839003,ga,36.0,6916.0,red,black,international auto group inc,17100.0,17300.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST),Fair Market
2014,DODGE,Grand Caravan,R/T,minivan,automatic,2c4rdgeg0er431235,il,4.0,17259.0,blue,black,fca us llc,19350.0,19600.0,Thu Jun 04 2015 04:00:00 GMT-0700 (PDT),Fair Market
2014,SUBARU,Xv Crosstrek,Premium,suv,automatic,jf2gpacc7e8231168,or,42.0,24530.0,white,tan,dollar rac/portland,20500.0,20600.0,Tue Jan 06 2015 04:00:00 GMT-0800 (PST),Fair Market
2006,TOYOTA,Avalon,XL,sedan,,4t1bk36b56u110553,pa,2.0,146906.0,blue,gray,world omni/santander,5775.0,3800.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST),Great Deal
2012,TOYOTA,Prius,Three,hatchback,automatic,jtdkn3du4c1556013,ca,36.0,46899.0,gray,gray,street smartz auto sales corporation,13800.0,17700.0,Tue Jun 02 2015 05:30:00 GMT-0700 (PDT),Fair Market
2004,VOLKSWAGEN,Passat,GLX,sedan,automatic,wvwrh63b44p059016,ga,19.0,108398.0,gray,black,mall of georgia mazda,2450.0,1600.0,Tue Jan 27 2015 05:00:00 GMT-0800 (PST),Good Price
2013,INFINITI,G Sedan,G37x,g sedan,automatic,jn1cv6ar5dm752440,fl,37.0,44287.0,gray,gray,the hertz corporation,21200.0,20001.0,Mon Dec 22 2014 09:30:00 GMT-0800 (PST),Good Price
2002,GMC,Envoy Xl,SLT,suv,automatic,1gket16sx26112546,il,19.0,122613.0,black,gray,geralds auto sales,1325.0,2100.0,Tue Jun 09 2015 03:30:00 GMT-0700 (PDT),Fair Market
2011,GMC,Sierra 1500,Denali,crew cab,,3gtp2xe25bg356390,nc,42.0,72601.0,white,beige,boykin motors of johnston co inc,26200.0,27000.0,Mon Mar 02 2015 01:30:00 GMT-0800 (PST),Fair Market
2013,MERCEDES-BENZ,E-Class,E350 Sport 4MATIC,sedan,automatic,wddhf8jb8da679456,tn,34.0,24963.0,gray,gray,mercedes-benz financial services,29200.0,28250.0,Wed Feb 18 2015 02:30:00 GMT-0800 (PST),Good Price
2009,BMW,3 Series,328i,coupe,automatic,wbawb335x9p136330,ga,23.0,80144.0,gray,tan,nalley bmw,12600.0,11800.0,Thu Jun 18 2015 03:00:00 GMT-0700 (PDT),Good Price
2013,HONDA,Civic,LX,coupe,automatic,2hgfg3b5xdh503795,ca,41.0,45153.0,blue,gray,ahfc/honda lease trust/hvt  inc.,12300.0,12700.0,Thu Feb 26 2015 04:00:00 GMT-0800 (PST),Fair Market
2012,BMW,3 Series,335is,coupe,automatic,wbakg1c50ce618800,oh,36.0,47076.0,gray,gray,financial services remarketing (lease),26800.0,30750.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST),Fair Market
2013,FORD,Edge,Limited,suv,automatic,2fmdk3kc7dba25630,oh,4.0,47049.0,brown,brown,ford motor credit company llc,19750.0,19900.0,Tue Jan 27 2015 01:00:00 GMT-0800 (PST),Fair Market
2011,CHEVROLET,Tahoe,LT,suv,automatic,1gnskbe00br357305,ga,34.0,60950.0,silver,gray,stream llc dba stream remarketing solutions,25200.0,23400.0,Tue Jan 20 2015 01:30:00 GMT-0800 (PST),Great Deal
2014,FORD,Edge,Limited,suv,automatic,2fmdk4kc1eba72059,il,45.0,13898.0,white,black,ars/ford-lincoln dealer program,26100.0,27700.0,Thu Jun 04 2015 03:00:00 GMT-0700 (PDT),Fair Market
2013,FORD,Escape,SEL,suv,automatic,1fmcu9h97dua59985,tx,38.0,68370.0,silver,black,the hertz corporation,13150.0,12300.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT),Good Price
2010,CHEVROLET,Equinox,LS,suv,automatic,2cnalbewxa6375080,ca,38.0,86025.0,gray,black,lease plan usa,9500.0,11200.0,Wed Mar 04 2015 04:30:00 GMT-0800 (PST),Fair Market
2012,RAM,1500,ST,crew cab,automatic,1c6rd6fp7cs281636,mo,29.0,26519.0,white,black,regional acceptance corporation / winterville,16650.0,17400.0,Wed Jan 14 2015 02:30:00 GMT-0800 (PST),Fair Market
2013,CHEVROLET,Equinox,LTZ,suv,automatic,2gnflgek1d6267155,mo,39.0,57421.0,white,black,the hertz corporation,17200.0,17300.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST),Fair Market
2012,VOLKSWAGEN,Jetta,Base,sedan,automatic,3vw2k7aj6cm352842,ca,38.0,30720.0,black,black,power drive inc,9300.0,9400.0,Wed Jan 21 2015 04:30:00 GMT-0800 (PST),Fair Market
2012,INFINITI,G Sedan,G37x,g sedan,automatic,jn1cv6ar2cm670986,il,45.0,53853.0,white,gray,nissan infiniti lt,17700.0,18600.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST),Fair Market
2012,HYUNDAI,Elantra,GLS,sedan,,5npdh4aexch119189,pa,39.0,23754.0,silver,gray,hyundai motor finance,10950.0,10600.0,Fri Jan 23 2015 01:00:00 GMT-0800 (PST),Fair Market
2014,KIA,Soul,+,wagon,automatic,kndjp3a57e7720096,tx,5.0,14740.0,red,black,kia motors america  inc,13700.0,14700.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST),Fair Market
2013,FORD,F-150,FX4,supercrew,automatic,1ftfw1ef0dkg27237,mo,41.0,12365.0,red,black,ford motor credit company llc,33800.0,34800.0,Tue Dec 23 2014 11:00:00 GMT-0800 (PST),Fair Market
2012,TOYOTA,Camry,LE,sedan,automatic,4t1bf1fk9cu099853,in,38.0,59131.0,black,tan,gm financial,11500.0,10700.0,Tue Dec 30 2014 10:10:00 GMT-0800 (PST),Good Price
1998,BMW,3 Series,328i,sedan,,wbacd3320wav22918,il,,1.0,,,grossinger city toyota,3975.0,1350.0,Thu Dec 18 2014 14:00:00 GMT-0800 (PST),Great Deal
2011,TOYOTA,Corolla,Base,sedan,manual,2t1bu4ee4bc722797,mo,44.0,55376.0,gray,beige,santander consumer,9750.0,9700.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT),Fair Market
2013,FORD,Fiesta,SE,hatchback,manual,3fadp4ej4dm192375,fl,44.0,20728.0,red,gray,capital one auto finance,10200.0,10100.0,Wed Feb 04 2015 01:10:00 GMT-0800 (PST),Fair Market
2014,FORD,Focus,SE,sedan,automatic,1fadp3f26el157888,pa,38.0,36431.0,gray,black,avis corporation,11700.0,11400.0,Fri Feb 13 2015 01:00:00 GMT-0800 (PST),Fair Market
2012,CHEVROLET,Cruze,LS,sedan,automatic,1g1pc5sh6c7382092,az,39.0,44937.0,black,black,gm financial,8650.0,9200.0,Thu Jan 22 2015 03:00:00 GMT-0800 (PST),Fair Market
